sourceCode;sourceName;sourceShortName;targetCode;targetName;targetShortName;changeOccurred
0101;Halden;Halden;3001;Halden;Halden;2020-01-01
0104;Moss;Moss;3002;Moss;Moss;2020-01-01
0105;Sarpsborg;Sarpsborg;3003;Sarpsborg;Sarpsborg;2020-01-01
0106;Fredrikstad;Fredrikstad;3004;Fredrikstad;Fredrikstad;2020-01-01
0211;Vestby;Vestby;3019;Vestby;Vestby;2020-01-01
0213;Ski;Ski;3020;Nordre Follo;NordreFollo;2020-01-01
0214;Ås;Ås;3021;Ås;Ås;2020-01-01
1601;Trondheim;Trondheim;5001;Trondheim;Trondheim;2020-01-01
1702;Steinkjer;Steinkjer;5006;Steinkjer;Steinkjer;2020-01-01
1804;Bodø;Bodø;1804;Bodø;Bodø;2020-01-01
